X,Y,Date,County
-97.472951,32.728347,1/30/14,TARRANT
-97.472932,32.758853,1/9/14,TARRANT
-97.472822,32.72839,6/11/14,TARRANT
-97.472731,32.735898,5/9/14,TARRANT
-97.472442,32.741977,4/11/14,TARRANT
-97.472158,32.76049,4/18/14,TARRANT
-97.472158,32.76049,4/18/14,TARRANT
-97.472062,32.759843,1/31/14,TARRANT
-97.472062,32.759843,1/31/14,TARRANT
-97.471981,32.735199,6/24/14,TARRANT
-97.471896,32.731536,10/13/14,TARRANT
-97.471812,32.734229,1/9/14,TARRANT
-97.471754,32.75399,6/27/14,TARRANT
-97.471188,32.734269,7/29/14,TARRANT
-97.47108,32.784796,1/16/14,TARRANT
-97.470919,32.734318,4/11/14,TARRANT
-97.470919,32.734318,4/11/14,TARRANT
-97.470747,32.733195,5/1/14,TARRANT
-97.470747,32.733195,5/1/14,TARRANT
-97.470747,32.733195,5/1/14,TARRANT
-97.470747,32.733195,5/1/14,TARRANT
-97.470747,32.733195,5/1/14,TARRANT
-97.47059,32.732182,8/15/14,TARRANT
-97.470492,32.726964,7/7/14,TARRANT
-97.470338,32.726965,4/4/14,TARRANT
-97.470189,32.775267,5/21/14,TARRANT
-97.470189,32.775267,5/28/14,TARRANT
-97.470189,32.775267,5/28/14,TARRANT
-97.470044,32.733922,7/11/14,TARRANT
-97.470006,32.725834,1/8/14,TARRANT
-97.469839,32.76063,5/27/14,TARRANT
-97.469839,32.76063,5/27/14,TARRANT
-97.469839,32.76063,5/27/14,TARRANT
-97.469484,32.774434,3/19/14,TARRANT
-97.469401,32.734608,3/20/14,TARRANT
-97.469347,32.734015,8/28/14,TARRANT
-97.469347,32.734015,6/6/14,TARRANT
-97.469347,32.734015,6/6/14,TARRANT
-97.469057,32.731961,1/7/14,TARRANT
-97.469057,32.731961,1/7/14,TARRANT
-97.469007,32.735294,4/10/14,TARRANT
-97.469007,32.735294,7/3/14,TARRANT
-97.469007,32.735294,4/10/14,TARRANT
-97.469007,32.735294,4/22/14,TARRANT
-97.469007,32.735294,7/11/14,TARRANT
-97.468987,32.731085,2/11/14,TARRANT
-97.468987,32.731085,6/6/14,TARRANT
-97.468915,32.75816,4/11/14,TARRANT
-97.468902,32.759544,8/29/14,TARRANT
-97.468902,32.759544,8/29/14,TARRANT
-97.468837,32.759575,12/8/14,TARRANT
-97.468837,32.759575,12/8/14,TARRANT
-97.468643,32.731704,7/25/14,TARRANT
-97.468643,32.731704,7/25/14,TARRANT
-97.468357,32.741793,4/15/14,TARRANT
-97.468312,32.737773,6/3/14,TARRANT
-97.468312,32.737773,6/3/14,TARRANT
-97.468013,32.754229,1/9/14,TARRANT
-97.468013,32.754229,1/9/14,TARRANT
-97.467915,32.768562,4/20/14,TARRANT
-97.467736,32.776436,4/9/14,TARRANT
-97.467736,32.776436,4/9/14,TARRANT
-97.467736,32.776436,4/9/14,TARRANT
-97.467301,32.731435,11/19/14,TARRANT
-97.467301,32.731435,11/19/14,TARRANT
-97.467129,32.731436,9/12/14,TARRANT
-97.467129,32.731436,9/12/14,TARRANT
-97.467127,32.721063,9/4/14,TARRANT
-97.467127,32.721063,9/4/14,TARRANT
-97.466786,32.731384,6/20/14,TARRANT
-97.466755,32.735405,12/3/14,TARRANT
-97.46671,32.735191,10/10/14,TARRANT
-97.466665,32.734977,8/12/14,TARRANT
-97.466665,32.734977,12/16/14,TARRANT
-97.46654,32.730874,3/19/14,TARRANT
-97.46654,32.730874,3/19/14,TARRANT
-97.46654,32.730874,3/19/14,TARRANT
-97.46654,32.730874,3/19/14,TARRANT
-97.46654,32.730874,3/19/14,TARRANT
-97.466534,32.74152,7/2/14,TARRANT
-97.466522,32.733299,1/27/14,TARRANT
-97.466489,32.734263,11/14/14,TARRANT
-97.466489,32.734263,11/14/14,TARRANT
-97.466452,32.73201,3/6/14,TARRANT
-97.466356,32.77329,4/17/14,TARRANT
